,Unnamed: 0,Name,Address,Latitude,Longitude
0,0,RLP,305 E 23rd St Austin TX 78712,30.28477,-97.73558
1,1,HRC,300 W 21st St Austin TX 78712,30.28431,-97.7412
2,2,WCH,Will C.Hogg Bldg 120 Inner Campus Drive Austin TX 78712,30.28608,-97.73834
3,3,BUR,2505 University Ave Austin TX 78712,30.28842,-97.73901
4,4,CPE,200 E Dean Keeton St Austin TX 78712,30.29021,-97.73614
5,5,ECJ,301 E Dean Keeton St Ernest Cockrell Jr. Hall Austin TX 78712,30.28895,-97.7355
6,6,JES,Beauford H Jester Center Austin TX 78712,30.28159,-97.73663
7,7,LBJ,2313 Red River St Austin TX 78705,30.28461,-97.7275
8,8,PAR,208 W 21st St Austin TX 78705,30.28341,-97.73634
9,9,POB,201 E 24th St Austin TX 78712,30.2872,-97.73686
10,10,WEL,105 E 24th St Austin TX 78712,30.28697,-97.7378
11,11,JON,721 E Dean Keeton St Austin TX 78705,30.28859,-97.7318
12,12,ART,2301 San Jacinto Blvd Austin TX 78705,30.28587,-97.73313
13,13,MAI,110 Inner Campus Drive Austin TX 78705,30.28609,-97.73929
14,14,BUR,2505 University Ave Austin TX 78712,30.28842,-97.73901
15,15,DFF,1300 E Martin Luther King Jr Blvd Austin TX 78722,30.27924,-97.72666
16,16,MAG,2017 Robert Dedman Dr Manor Garage Austin TX 78712,30.28296,-97.73089
17,17,BMA,200 E Martin Luther King Jr Blvd Austin TX 78701,30.2811,-97.73729
18,18,EPS,2275 Speedway Austin TX 78705,30.28572,-97.73675
19,19,EER,2501 Speedway Austin TX 78712,30.28809,-97.73542
20,20,GDC,2317 Speedway Austin TX 78712,30.28637,-97.7367
21,21,GSB,100 W 21st St Graduate School Of Business Building Austin TX 78705,30.28364,-97.739
22,22,FNT,102 E 24th St Norman Hackerman Building Austin TX 78712,30.28787,-97.73775
23,23,BME,107 W Dean Keeton St Biomedical Engineering Building Austin TX 78712,30.28909,-97.73876
24,24,BRB,2225 Speedway Austin TX 78705,30.28524,-97.73672
25,25,MNC,2015 San Jacinto Blvd Austin TX 78712,30.28224,-97.73265
26,26,UPB,2201 Robert Dedman Dr Austin TX 78705,30.28602,-97.7303
27,27,JGB,2305 Speedway Austin TX 78712,30.28568,-97.73716
28,28,SSW,1925 San Jacinto Blvd Austin TX 78712,30.28055,-97.73282
29,29,GEA,200 W 24th St Austin TX 78705,30.2877,-97.73917
30,30,LLA,2610 Whitis Ave Living Learning Center A Austin TX 78705,30.29153,-97.74045
31,31,GOL,310 Inner Campus Drive Austin TX 78705,30.28548,-97.74134
